"grp","wbeing","cohes","lead","hrs"
"2",2.1111111111,3.5,1.5454545455,14
"2",3.8888888889,4,3.75,12
"2",3.7222222222,3.5,2.5454545455,12
"2",2.6666666667,1,1,12
"2",3.6111111111,3.75,3.2727272727,11
"2",3.0555555556,1.25,1.7272727273,12
"2",0.5555555556,2.75,2.3636363636,14
"2",3.3333333333,4.75,2.1818181818,13
"2",3.5555555556,4,2.6363636364,11
"2",3.7222222222,3.375,2.2727272727,12
"2",3.1764705882,4,2.4545454545,12
"2",2.6111111111,3.625,2.0909090909,12
"2",2.7222222222,4.125,1.5454545455,12
"2",3.1666666667,3.875,2.0909090909,10
"2",1.7777777778,3.625,1.9090909091,15
"2",4.4444444444,3.625,3.6363636364,12
"2",3.1666666667,3.375,2.6363636364,12
"2",1.8333333333,3.75,3.1818181818,12
"2",1.5,4.5,2.5454545455,13
"2",3.8888888889,4.25,3.0909090909,12
"2",3.3333333333,4.625,2.2727272727,14
"2",2.2222222222,3.25,3.2,9
"2",3.5,4.125,3.4545454545,12
"2",3.2777777778,4.25,2.9090909091,13
"2",2,3.25,2.2727272727,12
"2",3.6666666667,2,3,12
"2",2.7647058824,2.7142857143,2.5454545455,11
"2",2.7222222222,3.125,2.2727272727,10
"2",4,3.75,2.2727272727,12
"2",2.0555555556,4,2.4545454545,12
"2",3.2777777778,3,3,14
"2",2,2,1.7272727273,13
"2",2.6111111111,2.875,2.4545454545,18
"2",2.1666666667,3.375,2.4545454545,11
"2",2.9444444444,3.25,1.9090909091,10
"2",2.4444444444,3.25,2,12
"2",3.1111111111,4,3,8
"2",3.5,4,3.3333333333,11
"2",3.1666666667,4.25,3.6363636364,10
"2",2.8888888889,3.125,2,12
"2",0.7647058824,2.125,2.7,11
"2",1.1666666667,3.375,2.3636363636,11
"2",2.1666666667,3.5,2.5454545455,12
"2",0.6666666667,4.625,2.1818181818,12
"2",2.5555555556,2.625,2.6363636364,14
"2",2,4,2.8333333333,10
"2",2.7222222222,3.25,1.5454545455,12
"2",3,3.25,1.8181818182,12
"2",1.9444444444,2.625,1.6363636364,15
"2",3.6111111111,1,3.5,12
"3",3.9444444444,3.125,2.1818181818,11
"3",3.2777777778,3,3.2727272727,12
"3",2.7647058824,3,2.6363636364,12
"3",4.2222222222,2,2,11
"3",3.2777777778,2.875,3.0909090909,10
"3",4.1666666667,2.875,3.7272727273,11
"3",3.0555555556,3.25,3.3636363636,8
"3",3.3333333333,4,2.8333333333,12
"3",3.8888888889,4.375,4.0909090909,9
"3",3.6111111111,4,3.6363636364,7
"3",2.1111111111,3.5,3.1818181818,11
"3",1.4444444444,2,1.1818181818,11
"3",3.0555555556,3,2.9090909091,11
"3",2.0555555556,2.875,3.2727272727,12
"3",3.3333333333,3.5,3.4545454545,9
"3",3.8888888889,3,1.9090909091,11
"3",3.2777777778,3.25,3.1818181818,9
"3",2.6666666667,3.125,3.2727272727,9
"3",2.7777777778,4,4.3333333333,12
"3",2.4444444444,3,3.0909090909,11
"3",2.6111111111,3.375,3.2727272727,10
"3",4.0555555556,3.625,3.1111111111,13
"3",3.2777777778,2.5,3.0909090909,10
"3",3.1176470588,3.5,3.4545454545,8
"3",2.9444444444,2.625,3.0909090909,8
"3",3.6111111111,3.375,3.2727272727,6
"3",3.4444444444,3.75,2.8181818182,10
"3",3.1111111111,2.875,3,12
"3",3.3333333333,3.625,4.0909090909,10
"3",3.2777777778,4.8571428571,3.6363636364,12
"3",3.3888888889,2.75,1.8181818182,11
"3",1.9444444444,2.375,2.0909090909,12
"3",2.9444444444,3.75,3,11
"3",2.7222222222,3.25,2.7272727273,9
"3",1.8888888889,2.625,2.9090909091,16
"3",2.7222222222,4,3.3636363636,11
"3",3.5555555556,3.875,3.7272727273,11
"3",1.5555555556,1.375,1.8181818182,12
"3",0.9444444444,3,2.8181818182,8
"3",3.4444444444,4,3.4545454545,11
"3",1.8333333333,3,2,24
"3",1.3846153846,2.5,1.8181818182,9
"3",2.3888888889,3.375,3.2727272727,9
"3",2.4444444444,3.1428571429,3.6363636364,9
"3",2.3333333333,4,3.8181818182,11
"3",1.6666666667,1,3.1666666667,12
"3",1.6666666667,2.75,2.5454545455,10
"3",1.5555555556,2.1428571429,1.6363636364,15
"3",4.1666666667,3.5,2.5454545455,10
"3",3.3529411765,4,2.7272727273,10
"3",3.2222222222,4,2.5,12
"3",3.1666666667,2.25,3.7272727273,12
"3",3.1111111111,3.5,3,11
"3",3.5555555556,3.875,2.7272727273,9
"3",2.6666666667,3,3,13
"3",2.7777777778,2.875,3.3636363636,11
"3",2.0555555556,3.875,2.5454545455,8
"3",3.1111111111,2.875,2.8181818182,12
"3",2.5555555556,1,1,6
"3",1.3888888889,3.25,3,12
"3",3.75,3.75,3.6363636364,8
"3",2.3888888889,4,3.5454545455,7
"3",3,3.375,3.3636363636,12
"3",4.3333333333,3.625,4.1818181818,10
"3",2.8888888889,3.25,3.5454545455,10
"3",3.5555555556,4.125,3.8181818182,8
"3",2.5555555556,2.125,2.2727272727,8
"3",3.6666666667,4.125,3.7272727273,10
"3",3.2777777778,2.75,3.4545454545,12
"3",2.5555555556,3.625,3.6363636364,12
"3",2.8888888889,3,3.4545454545,9
"3",3.2222222222,2.75,3,12
"3",1.8333333333,4,4.5,12
"3",2.8333333333,2,2.1666666667,12
"3",1.3888888889,1,3.3333333333,10
"3",1.8888888889,2.125,2.2727272727,10
"3",1.2777777778,3,2,8
"3",0.9444444444,2.375,1.3636363636,10
"3",3.3333333333,3.875,3.3636363636,11
"3",2.6111111111,2.25,2,12
"3",3.4444444444,3.875,3.8181818182,10
"3",2,3.875,2.0909090909,11
"3",1.3333333333,3.1428571429,3.0909090909,9
"3",3.4444444444,3.5,2.8181818182,10
"3",2.7777777778,3.5,2.5454545455,8
"3",3.0555555556,3.875,3.5454545455,8
"3",2,3.125,2.8181818182,10
"3",2.2777777778,3.625,2.3636363636,9
"3",1.9444444444,3.25,3,10
"3",2.2777777778,4.625,2.3636363636,10
"3",2.3888888889,3.25,2,11
"3",2.1111111111,4,3,11
"3",2.7222222222,3.875,1.9090909091,11
"3",2.6111111111,3,2.0909090909,9
"3",2.0555555556,1,2.6666666667,7
"3",1.9444444444,2.625,2.7272727273,10
"4",2.6666666667,4.5,3.1666666667,18
"4",3.7222222222,3.375,3.9090909091,16
"4",0,1,1,18
"4",4.1111111111,3.125,3.6363636364,11
"4",3.1111111111,2.75,3.1111111111,10
"4",2.3888888889,5,3.1666666667,12
"4",3.5,2.625,2.4545454545,12
"4",2.3888888889,2.625,3,12
"4",1.8666666667,2,2.6,12
"4",3,1,2.3333333333,11
"4",2.9444444444,2.25,2.0909090909,11
"4",3,3,2.5,11
"4",3.1666666667,2.625,2.6363636364,13
"4",2.6666666667,5,1,11
"4",3.6666666667,3.125,3.0909090909,12
"4",4.2222222222,4,3.5454545455,11
"4",4.8333333333,4,3.8181818182,12
"4",1.8333333333,2.875,2.8181818182,12
"4",3.2777777778,5,2.8181818182,12
"4",3.3333333333,3.75,2.7272727273,11
"4",2.6111111111,4,3.2,13
"4",2.3888888889,3.2857142857,3.2727272727,12
"4",2.1666666667,4.625,2.4545454545,8
"4",1.9444444444,1.5,1.7272727273,11
"4",2.5,3,2.3636363636,12
"4",2.8333333333,1,3.1666666667,12
"4",3.1666666667,2,2,12
"4",3.2777777778,3.875,3.3636363636,12
"4",3.6666666667,3.25,4.1818181818,10
"4",2.7777777778,1,1.8333333333,13
"4",2.8888888889,4.25,2.4545454545,14
"4",4.3333333333,2.875,2.8181818182,14
"4",2.7222222222,1,3,12
"4",3.2777777778,4,2.8333333333,12
"4",3.7222222222,3.875,2.3636363636,13
"4",4.3888888889,2.125,3,11
"4",2.8333333333,3.25,3.1818181818,12
"4",3.8333333333,3.5,4,12
"4",2.5555555556,1.125,1.1818181818,13
"4",3.7777777778,3,2.3333333333,12
"4",2.6111111111,2.875,2.5454545455,12
"4",3.8888888889,3.25,2.4545454545,10
"5",2.4444444444,1.25,1,12
"5",3.5555555556,4,3.3636363636,12
"5",4.0555555556,3.25,2.4545454545,12
"5",4.0769230769,3.5,3,10
"5",3,3,3.1818181818,7
"5",1.0555555556,2.875,2.2727272727,11
"5",4.2777777778,5,4.6363636364,5
"5",2.3333333333,3,2.9090909091,12
"5",2.9444444444,3.5,2.8333333333,10
"5",3.1666666667,2.375,3.0909090909,10
"5",4.2222222222,3,3.7272727273,8
"5",2.7777777778,4,3,12
"5",1.7222222222,3.5,2.9090909091,10
"5",3.0555555556,3.125,3.8181818182,11
"5",2.5555555556,2.625,3.4545454545,12
"5",2.4444444444,3.5,2.5,12
"5",3.4444444444,3,3.1818181818,14
"5",3.3888888889,2.25,3.6363636364,11
"5",2.8888888889,1.5,2.5,12
"5",3.1111111111,2.375,2.3636363636,11
"5",3.0555555556,1.75,1.9090909091,11
"5",1.1111111111,2,2.2727272727,11
"5",2.7777777778,3.5,2.7272727273,11
"5",4.2777777778,4.125,2.4545454545,11
"5",4,3.5,4,11
"5",2.4444444444,2,1.8181818182,10
"5",2.7222222222,2.5,3.1818181818,11
"5",2.9444444444,4.5,4.1818181818,11
"5",1.5,2.625,2.6363636364,10
"5",3,3.125,2.5454545455,7
"5",3.2222222222,2.5,1.8333333333,12
"5",1.7222222222,2.75,3,8
"5",3.3888888889,3.375,3,12
"5",4.1111111111,3.625,3.7272727273,8
"5",3.5,4.125,2.6363636364,12
"5",2.4444444444,2,1.2727272727,11
"5",3.2777777778,2.375,1.7272727273,13
"5",3.2777777778,2.375,2.3636363636,10
"5",1.2777777778,2.875,2.2727272727,14
"5",3.7777777778,3.125,3.6363636364,10
"5",2.3888888889,3,3.6363636364,8
"5",2.1666666667,2,2.5,10
"5",3.1666666667,3.4285714286,3.1818181818,13
"5",4.1111111111,3.375,3.4545454545,8
"5",3.6111111111,3.125,3.2727272727,11
"5",3.8333333333,3.625,3.5454545455,9
"5",2.2222222222,2.75,2.4545454545,9
"5",1.9444444444,3.625,3.6363636364,11
"5",2.1111111111,3.875,4,12
"5",0.9444444444,3.75,1.3636363636,12
"5",3.8888888889,3.5,3.4,16
"5",2.1666666667,2,2.3333333333,12
"5",2.6111111111,2.5,1.9090909091,12
"5",3.5555555556,3.5,3.5,9
"5",3.8333333333,2.5,3.6666666667,14
"5",1.6111111111,2.375,3.7272727273,10
"5",2.1111111111,4,2.1666666667,9
"5",3.6111111111,3,2.8181818182,11
"5",3.7222222222,3.125,2.6363636364,10
"5",2.8888888889,4,3.6363636364,10
"5",3.4444444444,3.25,2.8181818182,9
"5",3.1111111111,1.5,3.5,10
"5",3.5555555556,2,4,10
"5",4.0555555556,2,3.8333333333,9
"5",4.2777777778,4.25,5,8
"5",2.7777777778,4.25,4.2727272727,9
"5",3.1666666667,2.75,2.6363636364,9
"5",4.6666666667,3.5,3.5,8
"5",4.4444444444,4.25,3.8181818182,9
"5",2.75,3.875,4.4545454545,8
"5",2.7777777778,3.75,2.8181818182,10
"5",4.0555555556,4,3.5454545455,10
"5",3.5,3.25,3.9090909091,8
"5",3.5,3,3.5,10
"5",2.5555555556,3,3,8
"5",3.9444444444,2,3.1666666667,9
"5",2.3888888889,3,3.1818181818,9
"5",3.7777777778,4.125,4,8
"5",3.1111111111,3,3,8
"5",3.0555555556,3.875,3.7272727273,10
"5",4,4,3.6363636364,9
"5",3.8333333333,4.375,3.6363636364,12
"5",3.0555555556,2.375,3.4545454545,8
"5",3.7222222222,3.375,3.6363636364,8
"5",2.6111111111,2.375,3.7272727273,9
"5",3.0555555556,3.8571428571,3.8181818182,12
"5",3.2777777778,1.75,2.8181818182,10
"5",3.8888888889,2.875,2.6363636364,10
"5",1.6666666667,2.625,2.4545454545,11
"5",3.6111111111,4.625,4.1818181818,13
"5",3.7777777778,3,3.6666666667,12
"5",3.0555555556,3,3.5,12
"5",3.3333333333,4,3,8
"5",3.0588235294,2.875,2.8,10
"5",3.9444444444,3.25,2.8181818182,12
"5",2.3333333333,3,2.6363636364,10
"5",4.2222222222,4,4.8333333333,8
"5",4.1666666667,4.375,3.7272727273,11
"5",2.6666666667,2,3.8333333333,8
"5",3,3.875,4.0909090909,9
"5",2.3529411765,3.75,3.8181818182,10
"5",4.7777777778,3.625,4,9
"6",3.6111111111,1,2.6666666667,10
"6",3.3333333333,2.25,3.1818181818,12
"6",2.2777777778,1,1.6666666667,12
"6",2.0555555556,3.5,2.1818181818,12
"6",1.5,1.875,2,12
"6",2.4444444444,2,2.1666666667,12
"6",1.7222222222,3.375,2.4545454545,10
"6",3,1.5,3.1666666667,14
"6",3,3.375,2.2727272727,10
"6",3.1111111111,3.875,3.4545454545,9
"6",2.9444444444,1.5,1.9090909091,11
"6",2.8333333333,3.5,3.7272727273,10
"6",2.5,5,2.6666666667,10
"6",2.3888888889,3,2.5454545455,10
"6",2.0555555556,3.125,4.2222222222,9
"6",3.1764705882,2.375,2.8181818182,10
"6",3.2222222222,4,3.1666666667,10
"6",3.1666666667,2.5,3.0909090909,9
"6",1.8888888889,2.875,1.0909090909,12
"6",1.7777777778,3,3.1666666667,10
"6",1.2222222222,3.5,3.1818181818,11
"6",4,2.375,2.8181818182,9
"6",1.5555555556,1.5,3.1666666667,12
"6",3.1666666667,4.5,4.1666666667,11
"6",2.6111111111,2.125,2.0909090909,11
"6",4.2777777778,4,4,11
"6",1.8333333333,3.75,3,12
"6",4.6666666667,2.75,3.4545454545,11
"7",2.2352941176,4,2.5,12
"7",1.5555555556,2.5,2.3636363636,14
"7",3.1666666667,3.1666666667,2.1666666667,12
"7",3.5555555556,1,2.6666666667,11
"7",2.3888888889,2.5,3,12
"7",2.8333333333,4.375,2.8181818182,12
"7",2.4444444444,3.25,2.4545454545,12
"7",2.6666666667,3.25,2.2727272727,12
"7",2.1666666667,2.125,1.0909090909,8
"7",3.1666666667,4.25,2.9090909091,10
"7",3.8333333333,4.25,3.4545454545,10
"7",4,3.875,3.7272727273,12
"7",3.1666666667,3.5,3.4545454545,9
"7",2.3888888889,2.7142857143,2.0909090909,11
"7",2.2222222222,4,3.8333333333,10
"7",3,3.375,3.1818181818,12
"7",3.1666666667,3.25,2.1818181818,11
"7",1.6666666667,2,2.6666666667,13
"7",2.6666666667,2.375,1.0909090909,11
"7",2.2222222222,2,2.3333333333,11
"7",2.2222222222,3.125,1.5454545455,12
"7",2.5555555556,3,2.6363636364,10
"7",3.5,1,2.1666666667,12
"7",1.2222222222,2.625,1.4545454545,15
"7",2.0555555556,3,2.6666666667,12
"7",3.3888888889,3.75,3.2727272727,12
"7",2.2222222222,3,3,9
"7",4.2777777778,1,3.5,11
"7",1.7777777778,2.125,1,14
"8",2.7777777778,4,3,10
"8",2.6153846154,3,3.4545454545,9
"8",2,2.25,2.2727272727,8
"8",2.5555555556,3.25,2.9090909091,9
"8",2.2777777778,3.125,3.1818181818,8
"8",4.1111111111,3.5,3.3636363636,8
"8",1.625,2.75,2.3333333333,8
"8",4.1111111111,4,3.9090909091,11
"8",3.0555555556,1.75,2.1818181818,9
"8",2.2222222222,3.625,2.8181818182,10
"8",2.9444444444,4,2.3333333333,12
"8",1.2777777778,3,2,10
"8",1.3888888889,3,2.9090909091,12
"8",3.5,3.5,2.4545454545,12
"8",4.4444444444,4.5,3.8181818182,8
"8",2.2777777778,3.625,3.1818181818,10
"8",2.7222222222,4,3.3636363636,10
"8",2.7222222222,2,3,13
"8",1.6111111111,2.5,2.5,13
"8",2.0555555556,1,3,24
"8",2.5555555556,3.875,3.7272727273,8
"8",3.1111111111,4.25,2.2727272727,11
"8",3.8333333333,4,3.5,11
"8",3.9444444444,3,2.8333333333,11
"8",4.4444444444,4.5,3.6666666667,10
"8",1.3888888889,3.25,2.3636363636,8
"8",2.9444444444,3.875,4,11
"8",3,2.5,3.5,14
"8",3.7777777778,3.875,2.6363636364,11
"8",3.6111111111,2.5,2.3636363636,8
"8",2.7777777778,2.125,3.1818181818,11
"8",2.8125,2,2.8333333333,10
"8",4.0555555556,3.5,3.8181818182,8
"8",4.8333333333,4.625,4.3636363636,8
"9",3.5,3,3.0909090909,8
"9",4.1666666667,3.75,3.4545454545,11
"9",3.5555555556,3.25,2.7272727273,8
"9",3.6666666667,2.25,2,10
"9",4.8333333333,5,4,11
"9",3.9444444444,3.875,3.7272727273,8
"9",2.4444444444,3,3.3636363636,9
"9",3.3333333333,3.25,3,8
"9",4.0555555556,3.5,3.5,12
"9",4.9444444444,3.875,5,10
"9",3.6111111111,3,4,11
"9",2.6666666667,4,3.3333333333,12
"9",3.6666666667,3,3.7272727273,8
"9",2.5555555556,2,3.3636363636,10
"9",3.0555555556,3.875,3.9090909091,8
"9",3.1111111111,2.5,3.2,9
"9",2.9444444444,3.5,3.1666666667,10
"9",1.5555555556,3,2.6363636364,14
"9",2.5555555556,3.5,3.5454545455,9
"9",2.8333333333,2.625,2.5454545455,12
"9",3.3333333333,3.25,2.7272727273,7
"9",4.4444444444,3,3.0909090909,8
"9",1.0555555556,3.5,4,10
"9",2.7777777778,3,3.6666666667,10
"9",2,2.625,2,11
"9",3.9444444444,4,4,10
"9",1.3846153846,4.125,4,10
"9",1.3888888889,2.125,2.6363636364,11
"9",3.8888888889,3.25,3.7272727273,10
"9",2.7222222222,3.875,3.6363636364,11
"9",4.6666666667,2.75,2.7272727273,15
"9",3.5555555556,3.375,2.4545454545,7
"9",2.6111111111,3,2.3636363636,11
"9",2.4444444444,2.75,2.5454545455,8
"9",2.7777777778,3.875,3.7272727273,8
"9",2.1111111111,2.625,2.3636363636,10
"9",3.3333333333,2.75,2.6363636364,12
"9",2.7222222222,3.5,3.1818181818,9
"9",3.3333333333,3.875,3.3636363636,9
"10",4.0555555556,4,3.5,12
"10",0.2777777778,2.25,2.4545454545,16
"10",4,3.875,3,8
"10",2.3333333333,2.875,3.8181818182,12
"10",2,1.75,1,16
"10",2.6111111111,3.125,1.3636363636,14
"10",2.9444444444,2.875,2.4545454545,11
"10",2.8823529412,4,2.3333333333,13
"10",2.2777777778,2.125,3.3636363636,17
"10",2.25,3,3.1666666667,10
"10",3.7222222222,2,2.5454545455,12
"10",0.5,2.125,2.3636363636,16
"10",2.2222222222,2,3,10
"10",4.2222222222,2.5,2.3333333333,11
"10",2.9444444444,2,4,12
"10",2.3333333333,3,3,12
"10",3.4444444444,1,2.8333333333,14
"10",2.0555555556,3.625,2.2727272727,14
"10",2.3333333333,1.75,3,10
"10",3,1,3.3333333333,13
"10",3.6666666667,1.5,2.0909090909,15
"10",3.7777777778,4,1.1666666667,16
"10",1.8888888889,4.125,2.2727272727,12
"10",2.2222222222,3.5,2,14
"10",3.8888888889,3.5,3.5,12
"10",3.6111111111,3.5,3.3333333333,12
"10",2.6666666667,3.375,2,9
"10",1.2222222222,3.25,2.3636363636,13
"10",3.2777777778,4,3.3636363636,12
"10",3.3333333333,3.75,3.8181818182,10
"10",2.6666666667,2.5,3.1666666667,13
"10",2.3888888889,3,2.3333333333,15
"10",3.2777777778,2,2.7272727273,13
"10",2.6666666667,2.375,2.1818181818,11
"10",3,3,2.8333333333,10
"10",1.7777777778,1.875,1.1818181818,12
"10",1.4444444444,3.8571428571,1.6363636364,14
"10",2.3333333333,2.875,2.8181818182,12
"10",1.4444444444,4.25,2.3636363636,13
"10",3.5555555556,1,2.5,11
"10",2.7222222222,3.25,3.8181818182,10
"10",3.3888888889,3.75,3.3636363636,15
"10",2.5294117647,3.875,2.4545454545,12
"10",4,2.375,2.3636363636,12
"10",1.8333333333,5,2,11
"10",2.1111111111,2.875,2.7272727273,12
"10",3,2.375,2.2727272727,12
"10",2.7222222222,3.25,2.4545454545,12
"10",3.3888888889,3.375,2.8181818182,15
"10",4.1666666667,3.625,2.3636363636,12
"10",3.6666666667,3.125,2.8181818182,8
"10",2.7222222222,3.5,2,10
"10",2.2222222222,3.5,2.5,14
"10",2.2777777778,3.375,3.0909090909,15
"10",2.1666666667,3.5,2.5454545455,14
"10",1.9333333333,3.5,2.1666666667,13
"10",2.3888888889,3.5,3.4545454545,18
"10",4.1111111111,3.5,3.0909090909,12
"10",4,3.125,2.8181818182,5
"10",3.9444444444,3,3.3333333333,12
"10",4.1111111111,3,4,15
"10",2.7777777778,2.75,2.9090909091,12
"10",1.8888888889,3.125,2.4545454545,13
"10",3,4,1.25,13
"10",3.8888888889,4,2.8333333333,11
"11",4.1111111111,3,3,10
"11",3.7222222222,3.5,3.1666666667,12
"11",2.4444444444,4,3.1818181818,10
"11",3.7222222222,2.25,3.1818181818,8
"11",2.2222222222,4,3.5,12
"11",2.8888888889,1.5,2.6666666667,13
"11",2.7777777778,1,2.3333333333,12
"11",1.6666666667,1.75,2.2727272727,12
"11",1.6666666667,2,2.5,11
"11",2.4444444444,3,3.3333333333,11
"11",2,1.5,1.3333333333,13
"11",4.3333333333,3,4.1666666667,13
"11",2.9444444444,2.875,3.2727272727,12
"11",2.3888888889,3,3,8
"11",5,1.5,1.9090909091,12
"11",3.5555555556,2.875,2.9090909091,9
"11",3.6111111111,3,3.5,14
"11",3.5555555556,4,3.1666666667,11
"11",3.0555555556,4.125,3.9090909091,11
"11",3.1666666667,3.5,2.8181818182,11
"11",3.3888888889,3.75,3.6363636364,12
"11",2.6111111111,2.875,2.0909090909,13
"11",3.3888888889,3.5,3,10
"11",3.8333333333,4.5,2.1666666667,10
"11",1.6666666667,2.625,2.6363636364,10
"11",2.1111111111,3.75,3.6363636364,10
"11",3.0555555556,2,2.3333333333,13
"11",3.1111111111,3,2.8181818182,8
"11",2,3.75,1.6363636364,12
"11",4.2222222222,4,3.8333333333,10
"11",2.4444444444,4,3.8888888889,12
"11",1.6470588235,3.875,2.9090909091,11
"11",1.7777777778,2.625,2.0909090909,11
"11",3.9444444444,2,4.5,12
"11",1.6111111111,2.75,3.0909090909,4
"11",3.0555555556,3.5,2.3636363636,10
"11",2.1111111111,2.6,2.4545454545,10
"11",3.3333333333,2,2.6666666667,12
"11",3.5555555556,4,2,10
"12",3.0555555556,3,2.3636363636,13
"12",3.1111111111,1,1.1818181818,17
"12",2.9444444444,4,3.2727272727,10
"12",1.9444444444,1.5,2.1666666667,11
"12",1.2777777778,3.875,2.5454545455,12
"12",4.4444444444,3.5,3.5,12
"12",3.1111111111,4.125,3.4545454545,11
"12",2.3333333333,3,2.4545454545,10
"12",2.5,2,2.0909090909,14
"12",0.8333333333,5,1,12
"12",1.5,3.875,2.5454545455,12
"12",3.7777777778,4.25,2.3636363636,8
"12",1.7058823529,3,2.9090909091,11
"12",2.1666666667,2,2.6666666667,24
"12",2.8888888889,3,2.4545454545,12
"12",3.4444444444,3,3,7
"12",2.8333333333,3.75,2.5454545455,12
"12",2.5,1.25,1.0909090909,8
"12",3.1666666667,3.5,2.9090909091,11
"12",2.3333333333,2.125,1.5454545455,12
"12",3.9444444444,4,2.9090909091,12
"12",1.7777777778,2.875,1.0909090909,14
"12",3.6666666667,4,2.8181818182,10
"12",2.6111111111,2.875,1.4545454545,15
"12",2.9444444444,3.25,1.9090909091,10
"12",1.9444444444,4.125,3.4545454545,10
"12",3.4444444444,3.125,3.1818181818,12
"12",2.1111111111,2.75,1.1818181818,12
"12",4,3.875,3.0909090909,10
"12",1.6666666667,3,3,10
"12",3.5555555556,4.8,1.1818181818,12
"12",2.2777777778,5,2.8181818182,10
"12",2.4444444444,3,1.8333333333,13
"12",2.2777777778,3.25,2,10
"12",2.6666666667,4,3.1818181818,9
"12",2.1111111111,3,2.0909090909,12
"13",4.8333333333,1.5,3.8333333333,15
"13",4.8888888889,3.75,4,11
"13",3.9444444444,2.75,2.9090909091,10
"13",3.4444444444,3,2.7272727273,11
"13",3.0555555556,3,2.7272727273,12
"13",3.4444444444,1,2.5,11
"13",2.3333333333,2,2.2727272727,14
"13",1.7777777778,1.5,1.8181818182,12
"13",3.1666666667,3.5,2.5454545455,12
"13",3.5,4.25,3,10
"13",1.5,2.25,2.7272727273,14
"13",2.5,4.25,3.0909090909,24
"13",2.3333333333,2.5,2.6363636364,8
"13",2.7222222222,3.5,2.3,12
